Churn,Gender,Age,StreamingMovies,MonthlyCharge,Tenure,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Item1,Item2
0,0.0,68,1,172.455519,6.795512947,7.978322947,10,0,1,5,5
1,1.0,27,1,242.632554,1.156680997,11.69907956,12,0,1,3,4
0,1.0,50,1,159.947583,15.75414408,10.75280028,9,0,1,4,4
0,0.0,48,0,119.95684,17.08722662,14.91353964,15,2,0,4,4
1,0.0,83,0,149.948316,1.670971726,8.147416533,16,2,1,4,4
0,1.0,83,1,185.007692,7.000993555,8.420992898,15,3,1,3,3
1,0.0,79,1,200.118516,13.23677381,11.18272453,10,0,1,6,5
1,1.0,30,0,114.950905,4.26425515,7.791632265,16,0,0,2,2
0,1.0,49,0,117.468591,8.220686373,5.739005915,20,2,3,5,4
0,1.0,86,1,162.482694,3.422086139,8.707823904,18,1,0,2,2
0,1.0,23,0,174.958118,19.26726194,9.341631685,9,0,2,4,4
0,1.0,56,0,149.962093,10.52199781,6.68082638,17,1,1,4,4
0,0.0,83,0,137.439154,13.01149229,8.273875452,9,0,0,1,2
0,1.0,29,0,184.971516,16.87922024,5.880565591,14,1,0,5,6
1,0.0,30,0,159.965581,10.06019902,11.79073041,10,3,0,3,3
1,0.0,39,1,177.65076,13.87001293,10.79846973,13,1,0,3,3
1,1.0,63,1,194.966286,15.78214958,13.52284721,13,1,0,3,4
1,0.0,60,1,202.682861,2.303331273,9.831166695,16,3,0,2,2
0,1.0,61,0,152.490739,17.10995632,9.57470568,11,1,0,3,4
1,0.0,23,0,149.944668,12.80615845,10.92246098,10,1,0,5,5
0,0.0,38,1,184.978458,20.45390977,12.06889188,14,0,3,2,3
0,0.0,30,0,127.495766,2.415991977,6.984819996,18,1,0,5,5
0,0.0,52,0,124.964303,6.652298992,9.372975594,16,1,1,3,3
0,0.0,68,0,149.948316,8.543717478,7.109002592,9,0,0,4,4
1,1.0,75,1,162.511928,5.770390256,13.74777955,15,1,0,3,3
1,0.0,77,0,92.455141,4.157658837,9.767668044,12,1,0,4,4
1,1.0,47,1,222.649979,10.40566091,15.8626095,15,0,1,5,3
1,1.0,70,0,139.981577,1.392421597,14.73616645,12,0,0,2,2
1,1.0,20,1,200.132293,1.430386349,13.43558029,13,2,0,3,4
1,0.0,69,1,257.651257,5.425864884,10.61771118,18,1,0,4,4
0,0.0,45,1,230.105118,11.08287797,6.613070806,14,0,0,3,2
0,1.0,40,0,147.489301,3.586184954,4.450171647,13,2,0,2,3
1,1.0,82,1,230.105118,4.727388465,8.774646693,9,0,0,4,4
1,0.0,74,0,174.958118,20.89923386,11.13156721,8,1,1,5,5
1,0.0,69,1,267.664655,3.471329958,5.540788887,15,1,0,6,5
1,0.0,52,0,162.483267,5.478588204,13.80362698,11,0,1,4,2
1,1.0,26,1,229.993134,3.312991809,16.31017089,16,1,1,4,3
0,1.0,25,0,140.00128,7.161561527,9.447065309,9,2,0,5,6
0,1.0,66,1,184.964681,9.847563364,16.84100845,12,1,0,4,4
0,0.0,72,0,147.473844,16.04202196,7.972937227,10,1,1,3,4
0,1.0,21,0,172.457857,9.179779682,11.42906608,12,1,0,5,2
0,0.0,55,0,107.481989,3.002844144,8.06137096,16,2,0,3,3
1,0.0,41,1,255.141716,3.924254455,12.54780492,11,1,2,3,3
0,0.0,32,1,192.456745,18.55959629,8.255565152,13,0,0,3,3
1,1.0,22,1,242.632554,8.798394712,13.156514,6,0,0,4,4
1,1.0,44,1,245.174977,10.377366,10.58349704,5,1,0,3,3
1,0.0,23,1,184.964681,22.25746016,12.50184778,11,1,0,4,4
1,1.0,43,0,195.006206,9.427146079,9.750038902,11,1,0,4,5
0,1.0,86,0,104.962874,7.760290062,7.868660851,11,2,2,3,4
0,1.0,84,0,92.488023,11.56938439,12.43563329,14,0,1,3,3
1,1.0,62,1,184.979684,3.343811019,8.957166926,13,3,0,2,2
1,1.0,68,1,187.656013,7.338869531,8.015021713,12,1,0,2,3
0,1.0,59,0,149.962093,5.486534225,4.210347704,8,0,0,4,4
1,1.0,31,0,169.944668,1.55278221,11.13960534,6,0,0,4,4
1,0.0,51,0,160.00128,12.07970325,9.03738856,11,2,0,4,2
0,1.0,58,0,129.962093,13.98666226,10.91594785,11,1,1,3,4
1,0.0,73,0,114.950905,9.563362997,8.387624096,11,0,1,5,4
0,1.0,33,1,142.515576,6.732948946,11.4487514,11,0,1,4,5
1,0.0,58,1,220.14775,15.72071086,10.22013704,15,2,0,3,5
0,1.0,49,0,124.97808,7.233605493,8.425458142,9,1,0,5,5
0,1.0,26,1,164.964681,2.871017037,8.386280619,12,1,0,5,5
0,0.0,25,0,194.976769,2.344875382,9.565924291,10,3,0,3,4
1,1.0,42,1,152.455519,7.960490246,10.79349982,14,3,0,5,5
0,0.0,81,0,92.5018,12.25062113,6.081975067,15,0,0,5,5
0,1.0,43,1,127.488728,9.634946079,13.55065547,13,0,0,4,4
0,0.0,63,0,184.963371,7.916533093,9.470419821,14,1,0,3,4
1,1.0,70,1,265.146969,4.471254161,6.194985909,11,0,1,3,3
1,0.0,78,1,207.609354,10.79028074,10.80393657,19,1,0,4,4
0,0.0,48,0,152.462354,12.24190682,7.903964267,17,0,1,3,1
1,1.0,63,1,200.132293,2.203859443,11.27443693,18,2,1,4,4
1,1.0,60,1,212.655686,23.92132231,6.129509309,12,0,0,5,5
1,0.0,87,1,255.119794,3.7311787,7.969277912,17,0,0,3,3
0,1.0,54,0,134.950905,7.980015371,4.368120492,9,0,0,2,3
1,0.0,35,1,255.137219,9.190009376,6.258356398,9,0,1,4,3
1,0.0,70,1,214.966286,2.378630018,12.92303286,16,0,0,4,4
1,1.0,67,1,270.160419,5.43464555,12.43301273,13,0,0,3,3
1,1.0,46,1,200.165175,1.092361222,7.607663559,11,0,0,1,1
0,0.0,50,1,149.937833,20.13981517,7.442789019,10,2,1,2,2
1,1.0,24,1,240.114868,24.64873861,13.04429298,18,1,0,4,4
0,0.0,20,0,127.495766,9.677739656,14.89762162,17,0,0,3,4
1,1.0,29,1,187.609354,9.82814183,13.79387475,13,2,1,3,4
0,0.0,31,0,169.992756,7.832238337,15.66367593,6,1,0,3,3
0,1.0,72,1,192.456745,19.45250317,8.513410306,13,3,0,4,4
0,0.0,71,0,120.004928,14.34766616,8.265002035,10,1,0,4,4
0,1.0,32,0,195.006206,2.257358355,8.6026551,11,0,0,5,3
0,0.0,33,0,139.95684,2.358129018,6.03993035,15,1,0,3,3
0,0.0,67,0,114.983787,4.650578623,14.6040829,12,3,0,3,3
1,1.0,66,1,207.638588,3.721772616,7.274007029,13,1,1,4,3
1,1.0,21,1,187.609354,3.76663012,8.913898759,12,4,0,4,4
0,1.0,61,0,134.950905,4.151256695,11.59313893,13,0,2,3,2
1,1.0,75,1,192.470522,2.188918771,8.294186076,13,0,0,3,3
1,1.0,63,1,222.628057,13.85488928,15.19664016,9,1,0,3,2
0,1.0,68,1,162.468917,3.273341151,5.083995994,3,1,0,2,2
1,0.0,32,0,159.979358,19.75096265,6.942719201,7,1,1,2,2
0,0.0,76,1,184.979684,18.38404445,9.834012571,7,1,0,3,2
1,1.0,29,1,245.145743,4.672610857,11.0596826,13,0,0,5,5
0,1.0,83,0,124.97808,6.796299371,8.834079073,17,0,1,4,4
1,0.0,23,0,187.484705,12.97632235,5.271228601,14,1,1,3,2
0,0.0,80,0,162.500692,20.31163945,9.394961367,15,1,0,5,4
0,0.0,20,0,182.467607,6.998814446,14.4754365,11,1,1,3,4
1,0.0,69,1,222.660939,14.46288204,10.68311773,12,1,1,3,2
0,0.0,32,0,182.467607,11.13472066,13.79409442,10,1,0,3,4
1,1.0,53,1,220.161527,2.542296644,12.40165307,19,1,0,2,4
0,0.0,25,1,169.937833,17.22596021,10.24782033,9,1,0,4,4
1,0.0,69,0,204.963371,22.79214163,14.86100819,16,0,2,3,3
1,0.0,71,0,204.963371,3.823689744,6.716953195,10,2,1,3,5
1,1.0,53,1,245.128318,10.77094687,8.124258176,18,1,0,3,3
1,1.0,56,0,172.473314,13.08671185,14.60903837,11,0,2,4,4
1,0.0,42,1,172.456745,14.76468813,12.65015936,9,2,2,4,3
1,0.0,33,0,194.976769,9.473091121,12.0281501,14,0,0,2,2
0,0.0,47,0,137.439154,5.197446331,15.68043093,16,1,0,4,4
1,1.0,48,1,192.470522,6.577552683,11.30421466,18,3,1,3,4
1,1.0,63,1,159.951231,3.174571918,10.26646787,10,1,0,4,3
0,0.0,40,0,112.455141,17.88002366,7.56618217,9,0,0,3,3
1,0.0,67,0,174.961766,13.12190056,10.40677369,14,2,0,5,4
0,1.0,56,0,162.452604,23.34617699,7.146124361,13,3,0,6,5
0,1.0,24,0,137.483594,6.311709178,9.807530479,10,1,0,5,5
0,1.0,79,1,275.133571,12.58298231,10.61217014,12,3,0,4,5
1,0.0,61,1,127.442069,7.120096363,5.785085772,16,1,1,4,3
1,0.0,38,1,210.138,9.344886869,9.062879297,11,2,0,4,4
0,1.0,28,0,147.456419,22.37815032,16.54443477,13,1,0,5,4
1,0.0,44,1,242.657291,4.799514433,4.539566699,8,2,0,4,4
0,0.0,65,0,114.983787,10.04672315,7.251198724,14,2,0,2,2
0,1.0,35,1,187.656013,8.156552837,8.943293567,15,2,1,4,4
0,1.0,31,0,149.991327,7.992791229,12.57884215,9,3,1,2,2
0,0.0,34,0,124.960655,7.231032028,11.64836306,11,0,1,4,3
1,0.0,68,1,220.161527,4.627672042,6.076260652,13,0,0,3,3
0,0.0,62,0,172.48852,10.05306287,11.75681641,9,0,0,5,5
0,0.0,52,0,120.004928,4.171044392,9.173739977,14,0,1,4,4
1,0.0,32,1,220.161527,4.568682641,8.353693631,11,4,0,2,1
1,1.0,47,1,139.965008,6.085030507,10.74539526,10,0,1,3,3
0,1.0,66,1,159.951231,2.730250735,11.36323648,12,1,1,3,3
1,1.0,70,0,184.949594,8.574901206,2.310584634,14,1,0,2,3
1,0.0,41,1,252.637807,9.743201772,5.290318715,10,0,0,5,5
0,0.0,59,0,112.455141,9.482919033,5.258274954,8,1,0,4,5
0,0.0,46,0,179.979358,8.447988841,7.157580014,12,0,0,4,3
0,0.0,70,1,202.443347,6.365998533,2.120350511,17,0,0,3,3
0,0.0,89,0,197.472533,7.251397592,4.978546291,12,2,0,4,6
1,1.0,75,1,255.155493,14.64011644,6.547676875,10,3,1,3,3
1,1.0,26,0,174.976769,11.71637124,7.410590719,9,0,1,5,4
0,1.0,25,0,169.992756,4.13273503,11.39765385,8,1,1,4,3
1,1.0,84,0,192.440432,2.887429547,11.29945603,14,1,0,4,5
0,0.0,69,1,182.460772,3.303030246,11.30748265,15,0,2,4,4
0,0.0,31,1,139.965008,5.15825129,10.31551212,11,2,1,5,5
1,0.0,76,1,137.461553,3.237560234,13.71555406,14,1,0,4,4
1,0.0,75,0,217.472533,2.733109234,15.40917963,15,2,0,5,4
1,1.0,74,1,210.138,3.180102025,11.9664542,17,1,0,2,2
0,0.0,49,0,104.964303,15.85983755,10.18046877,10,2,0,5,4
1,0.0,47,1,262.610632,11.73724209,14.01485542,16,1,1,2,3
1,1.0,20,1,152.488401,7.006240694,14.62784306,17,2,0,6,5
1,1.0,26,1,174.974431,5.562130367,10.90517581,10,2,0,3,3
0,1.0,72,1,220.118516,14.53027663,8.894475174,8,0,1,2,3
0,0.0,41,0,162.452604,5.905906389,10.50187888,13,0,0,5,5
