"Churn","MonthlyCharge","Gender","Age","Income","DeviceProtection","Tenure","Bandwidth_GB_Year","Contacts","Yearly_equip_failure","Item4","Item5","Item6","Item7"
"0","172.455519","0","68","28561.99","0","6.795512947","904.5361102","0","1","3","4","4","3"
"1","242.632554","1","27","21704.77","0","1.156680997","800.9827661","0","1","3","4","3","4"
"0","159.947583","1","50","9609.57","0","15.75414408","2054.706961","0","1","4","4","3","3"
"0","119.95684","0","48","18925.23","0","17.08722662","2164.579412","2","0","2","5","4","3"
"1","149.948316","0","83","40074.19","0","1.670971726","271.4934362","2","1","3","4","4","4"
"0","185.007692","1","83","22660.2","1","7.000993555","1039.357983","3","1","2","4","3","3"
"1","200.118516","0","79","11467.5","0","13.23677381","1907.242972","0","1","4","1","5","5"
"1","114.950905","1","30","26759.64","0","4.26425515","979.6127078","0","0","5","2","3","4"
"0","117.468591","1","49","58634.51","0","8.220686373","1312.874964","2","3","3","4","3","4"
"0","162.482694","1","86","50231.4","1","3.422086139","508.7637913","1","0","2","5","2","3"
"0","174.958118","1","23","22580.7","0","19.26726194","2728.767869","0","2","7","3","3","3"
"0","149.962093","1","56","18342.12","1","10.52199781","1180.588788","1","1","4","4","4","3"
"0","137.439154","0","83","83671.08","0","13.01149229","1196.388018","0","0","4","3","2","3"
"0","184.971516","1","29","115114.57","0","16.87922024","1948.694497","1","0","2","4","5","4"
"1","159.965581","0","30","64256.81","0","10.06019902","1582.295235","3","0","2","3","4","4"
"1","177.65076","0","39","89061.45","0","13.87001293","1840.014467","1","0","2","4","3","5"
"1","194.966286","1","63","31659.3","1","15.78214958","2070.376729","1","0","3","5","4","4"
"1","202.682861","0","60","44142.81","1","2.303331273","882.0985933","3","0","3","3","4","3"
"0","152.490739","1","61","39262.14","1","17.10995632","1833.0967","1","0","4","3","2","3"
"1","149.944668","0","23","19494.75","0","12.80615845","1954.080809","1","0","4","4","4","3"
"0","184.978458","0","38","39624.21","1","20.45390977","2330.319383","0","3","2","4","2","3"
"0","127.495766","0","30","45714.47","1","2.415991977","594.1054279","1","0","4","3","4","3"
"0","124.964303","0","52","27442.03","0","6.652298992","713.0633088","1","1","2","2","3","5"
"0","149.948316","0","68","79699.62","0","8.543717478","945.3802928","0","0","5","3","4","4"
"1","162.511928","1","75","28520.32","1","5.770390256","870.76398","1","0","2","4","4","3"
"1","92.455141","0","77","12558.83","0","4.157658837","774.2937069","1","0","4","2","4","5"
"1","222.649979","1","47","8762.23","1","10.40566091","1506.446527","0","1","3","3","5","4"
